,Taxonomy,Parent,Child
0,CoRel1,veggies,artichokes
1,CoRel1,veggies,red peppers
2,CoRel1,veggies,olives
3,CoRel1,veggies,green peppers
4,CoRel1,veggies,bell peppers
5,CoRel1,veggies,artichoke
6,CoRel1,veggies,tomatoes
7,CoRel1,veggies,peppers
8,CoRel1,veggies,fresh mozzarella
9,CoRel1,veggies,kalamata
10,CoRel1,veggies,roasted peppers
11,CoRel1,veggies,jalape os
12,CoRel1,veggies,parsley
13,CoRel1,veggies,bell pepper
14,CoRel1,veggies,italian sausage
15,CoRel1,veggies,fresh basil
16,CoRel1,veggies,mozzarella
17,CoRel1,veggies,zucchini
18,CoRel1,veggies,pepperoni
19,CoRel1,veggies,roasted red peppers
20,CoRel1,veggies,mushrooms
21,CoRel1,veggies,arugula
22,CoRel1,veggies,roasted garlic
23,CoRel1,veggies,roma
24,CoRel1,veggies,anchovies
25,CoRel1,veggies,marinara
26,CoRel1,veggies,hearts
27,CoRel1,veggies,tomato sauce
28,CoRel1,veggies,mozarella
29,CoRel1,veggies,banana peppers
30,CoRel1,veggies,salami
31,CoRel1,veggies,caprese salad
32,CoRel1,veggies,antipasto
33,CoRel1,veggies,hot peppers
34,CoRel1,veggies,prosciutto
35,CoRel1,veggies,onions
36,CoRel1,veggies,cucumbers
37,CoRel1,veggies,basil
38,CoRel1,veggies,red onion
39,CoRel1,veggies,margherita
40,CoRel1,veggies,heirloom tomatoes
41,CoRel1,veggies,gorgonzola
42,CoRel1,veggies,oven roasted
43,CoRel1,veggies,feta cheese
44,CoRel1,veggies,mozz
45,CoRel1,veggies,feta
46,CoRel1,veggies,margherita pizza
47,CoRel1,veggies,mortadella
48,CoRel1,veggies,roasted tomatoes
49,CoRel1,veggies,parm
50,CoRel1,veggies,peanut
51,CoRel1,veggies,coconut milk
52,CoRel1,veggies,soy
53,CoRel1,veggies,coconut
54,CoRel1,veggies,cashew
55,CoRel1,veggies,soy milk
56,CoRel1,veggies,milk
57,CoRel1,veggies,cashews
58,CoRel1,veggies,coconut cream
59,CoRel1,veggies,taro
60,CoRel1,veggies,durian
61,CoRel1,veggies,winter melon
62,CoRel1,veggies,lychee
63,CoRel1,veggies,black tea
64,CoRel1,veggies,tapioca
65,CoRel1,veggies,pandan
66,CoRel1,veggies,chai
67,CoRel1,veggies,sweetened
68,CoRel1,veggies,green tea
69,CoRel1,veggies,cottage cheese
70,CoRel1,veggies,almond
71,CoRel1,veggies,earl grey
72,CoRel1,veggies,sago
73,CoRel1,veggies,sticky rice
74,CoRel1,veggies,sugar
75,CoRel1,veggies,lychee jelly
76,CoRel1,veggies,sesame
77,CoRel1,veggies,condensed milk
78,CoRel1,veggies,seeds
79,CoRel1,veggies,jasmine
80,CoRel1,veggies,grass jelly
81,CoRel1,veggies,mango
82,CoRel1,veggies,almond milk
83,CoRel1,veggies,nut
84,CoRel1,veggies,herbal
85,CoRel1,veggies,red bean paste
86,CoRel1,veggies,matcha
87,CoRel1,veggies,tea
88,CoRel1,veggies,iced
89,CoRel1,veggies,coconut water
90,CoRel1,veggies,lavender
91,CoRel1,veggies,slush
92,CoRel1,veggies,peanuts
93,CoRel1,veggies,shaved ice
94,CoRel1,veggies,cardamom
95,CoRel1,veggies,rice pudding
96,CoRel1,veggies,mango pudding
97,CoRel1,veggies,icecream
98,CoRel1,veggies,halo halo
99,CoRel1,veggies,ube
100,CoRel1,veggies,sauteed onions
101,CoRel1,veggies,fried onions
102,CoRel1,veggies,pickled carrots
103,CoRel1,veggies,sesame seeds
104,CoRel1,veggies,grilled veggies
105,CoRel1,veggies,green onions
106,CoRel1,veggies,slaw
